"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"Site_1017","1","1","Port 2","True","True"
"Site_1017","2","2","Port 1","False","False"
"Site_1017","2","2","Port 2","True","True"
"Site_1017","3","3","Port 1","False","False"
"Site_1017","3","3","Port 2","True","True"
"Site_1018","1","1","Port 1","False","False"
"Site_1018","1","1","Port 2","True","True"
"Site_1018","2","2","Port 1","False","False"
"Site_1018","2","2","Port 2","True","True"
"Site_1018","3","3","Port 1","False","False"
"Site_1018","3","3","Port 2","True","True"
"Site_1019","1","1","Port 1","False","False"
"Site_1019","1","1","Port 2","True","True"
"Site_1019","2","2","Port 1","False","False"
"Site_1019","2","2","Port 2","True","True"
"Site_1019","3","3","Port 1","False","False"
"Site_1019","3","3","Port 2","True","True"
"Site_102","1","1","Port 1","False","False"
"Site_102","1","1","Port 2","True","True"
"Site_102","2","2","Port 1","False","False"
"Site_102","2","2","Port 2","True","True"
"Site_102","3","3","Port 1","False","False"
"Site_102","3","3","Port 2","True","True"
"Site_1020","1","1","Port 1","False","False"
"Site_1020","1","1","Port 2","True","True"
"Site_1020","2","2","Port 1","False","False"
"Site_1020","2","2","Port 2","True","True"
"Site_1020","3","3","Port 1","False","False"
"Site_1020","3","3","Port 2","True","True"
"Site_1021","1","1","Port 1","False","False"
"Site_1021","1","1","Port 2","True","True"
"Site_1021","2","2","Port 1","False","False"
"Site_1021","2","2","Port 2","True","True"
"Site_1021","3","3","Port 1","False","False"
"Site_1021","3","3","Port 2","True","True"
"Site_1022","1","1","Port 1","False","False"
"Site_1022","1","1","Port 2","True","True"
"Site_1022","2","2","Port 1","False","False"
"Site_1022","2","2","Port 2","True","True"
"Site_1022","3","3","Port 1","False","False"
"Site_1022","3","3","Port 2","True","True"
"Site_1023","1","1","Port 1","False","False"
"Site_1023","1","1","Port 2","True","True"
"Site_1023","2","2","Port 1","False","False"
"Site_1023","2","2","Port 2","True","True"
"Site_1023","3","3","Port 1","False","False"
"Site_1023","3","3","Port 2","True","True"
"Site_1024","1","1","Port 1","False","False"
"Site_1024","1","1","Port 2","True","True"
"Site_1024","2","2","Port 1","False","False"
"Site_1024","2","2","Port 2","True","True"
"Site_1024","3","3","Port 1","False","False"
"Site_1024","3","3","Port 2","True","True"
"Site_1025","1","1","Port 1","False","False"
"Site_1025","1","1","Port 2","True","True"
"Site_1025","2","2","Port 1","False","False"
"Site_1025","2","2","Port 2","True","True"
"Site_1025","3","3","Port 1","False","False"
"Site_1025","3","3","Port 2","True","True"
"Site_1026","1","1","Port 1","False","False"
"Site_1026","1","1","Port 2","True","True"
"Site_1026","2","2","Port 1","False","False"
"Site_1026","2","2","Port 2","True","True"
"Site_1026","3","3","Port 1","False","False"
"Site_1026","3","3","Port 2","True","True"
"Site_1027","1","1","Port 1","False","False"
"Site_1027","1","1","Port 2","True","True"
"Site_1027","2","2","Port 1","False","False"
"Site_1027","2","2","Port 2","True","True"
"Site_1027","3","3","Port 1","False","False"
"Site_1027","3","3","Port 2","True","True"
"Site_1028","1","1","Port 1","False","False"
"Site_1028","1","1","Port 2","True","True"
"Site_1028","2","2","Port 1","False","False"
"Site_1028","2","2","Port 2","True","True"
"Site_1028","3","3","Port 1","False","False"
"Site_1028","3","3","Port 2","True","True"
"Site_1029","1","1","Port 1","False","False"
"Site_1029","1","1","Port 2","True","True"
"Site_1029","2","2","Port 1","False","False"
"Site_1029","2","2","Port 2","True","True"
"Site_1029","3","3","Port 1","False","False"
"Site_1029","3","3","Port 2","True","True"
"Site_103","1","1","Port 1","False","False"
"Site_103","1","1","Port 2","True","True"
"Site_103","2","2","Port 1","False","False"
"Site_103","2","2","Port 2","True","True"
"Site_103","3","3","Port 1","False","False"
