"Site ID","Sector ID","Carrier Name","Cell ID","E-UTRAN Cell ID","Downlink Load (%)","Uplink Load (%)","Maximum Downlink Load (%)","Maximum Uplink Load (%)","Uplink Noise Rise (dB)","FFR Usage (%)","Almost Blank Subframes (%)"
"Site_1021","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1021","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1021","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1022","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1022","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1022","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1023","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1023","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1023","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1024","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1024","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1024","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1025","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1025","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1025","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1026","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1026","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1026","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1027","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1027","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1027","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1028","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1028","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1028","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1029","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1029","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1029","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_103","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_103","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_103","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1030","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1030","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1030","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1031","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1031","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1031","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1032","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1032","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1032","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1033","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1033","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1033","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1034","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1034","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1034","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1035","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1035","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1035","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1036","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1036","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1036","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1037","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1037","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1037","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1038","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1038","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1038","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1039","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1039","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1039","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_104","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_104","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_104","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1040","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1040","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1040","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1041","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1041","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1041","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1042","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1042","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1042","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1043","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1043","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1043","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1044","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1044","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1044","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1045","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1045","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1045","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1046","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1046","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1046","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1047","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
