"Site ID","Sector ID","Antenna ID","MIMO Group","Horizontal Beamwidth","Vertical Beamwidth","Link Configuration ID","Cable Length (m)","Power Split (%)","Downlink Beamforming Configuration","Uplink Beamforming Configuration"
"Site_1185","3","3","1","65","62","Default","25","100","None","None"
"Site_1186","1","1","1","65","62","Default","25","100","None","None"
"Site_1186","2","2","1","65","62","Default","25","100","None","None"
"Site_1186","3","3","1","65","62","Default","25","100","None","None"
"Site_1187","1","1","1","65","62","Default","25","100","None","None"
"Site_1187","2","2","1","65","62","Default","25","100","None","None"
"Site_1187","3","3","1","65","62","Default","25","100","None","None"
"Site_1188","1","1","1","65","62","Default","25","100","None","None"
"Site_1188","2","2","1","65","62","Default","25","100","None","None"
"Site_1188","3","3","1","65","62","Default","25","100","None","None"
"Site_1189","1","1","1","65","62","Default","25","100","None","None"
"Site_1189","2","2","1","65","62","Default","25","100","None","None"
"Site_1189","3","3","1","65","62","Default","25","100","None","None"
"Site_119","1","1","1","65","62","Default","25","100","None","None"
"Site_119","2","2","1","65","62","Default","25","100","None","None"
"Site_119","3","3","1","65","62","Default","25","100","None","None"
"Site_1190","1","1","1","65","62","Default","25","100","None","None"
"Site_1190","2","2","1","65","62","Default","25","100","None","None"
"Site_1190","3","3","1","65","62","Default","25","100","None","None"
"Site_1191","1","1","1","65","62","Default","25","100","None","None"
"Site_1191","2","2","1","65","62","Default","25","100","None","None"
"Site_1191","3","3","1","65","62","Default","25","100","None","None"
"Site_1192","1","1","1","65","62","Default","25","100","None","None"
"Site_1192","2","2","1","65","62","Default","25","100","None","None"
"Site_1192","3","3","1","65","62","Default","25","100","None","None"
"Site_1193","1","1","1","65","62","Default","25","100","None","None"
"Site_1193","2","2","1","65","62","Default","25","100","None","None"
"Site_1193","3","3","1","65","62","Default","25","100","None","None"
